label,text
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Act now! This offer is valid for today only.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Lunch at 1 PM works for me.
ham,Thank you for your assistance.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Can you share the project update?
ham,Can you share the project update?
spam,Winner! Claim your lottery prize before it expires.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Please find the attached report for your review.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Winner! Claim your lottery prize before it expires.
ham,Your order has been shipped successfully.
ham,Let me know if you need any further information.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,You are selected for a free vacation. Call now to confirm.
spam,You are selected for a free vacation. Call now to confirm.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Thank you for your assistance.
ham,Your order has been shipped successfully.
ham,Thank you for your assistance.
ham,Can you share the project update?
spam,Winner! Claim your lottery prize before it expires.
ham,Here are the notes from today's class.
spam,Act now! This offer is valid for today only.
ham,Please find the attached report for your review.
spam,Lowest price loans available. Apply today.
ham,Can you share the project update?
spam,Earn money quickly from home. No experience required.
ham,Here are the notes from today's class.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Earn money quickly from home. No experience required.
ham,Looking forward to our discussion.
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Can you share the project update?
ham,Reminder: Submit your assignment by tonight.
ham,Here are the notes from today's class.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Your order has been shipped successfully.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Looking forward to our discussion.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,You are selected for a free vacation. Call now to confirm.
ham,Reminder: Submit your assignment by tonight.
ham,Your order has been shipped successfully.
spam,Lowest price loans available. Apply today.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Get cheap medicines online without prescription. Limited offer!
ham,Please find the attached report for your review.
ham,Here are the notes from today's class.
ham,Let me know if you need any further information.
spam,Get cheap medicines online without prescription. Limited offer!
spam,You are selected for a free vacation. Call now to confirm.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Here are the notes from today's class.
spam,You are selected for a free vacation. Call now to confirm.
ham,Can you share the project update?
spam,You are selected for a free vacation. Call now to confirm.
ham,Your order has been shipped successfully.
spam,You are selected for a free vacation. Call now to confirm.
spam,Earn money quickly from home. No experience required.
ham,Looking forward to our discussion.
ham,Let me know if you need any further information.
spam,You are selected for a free vacation. Call now to confirm.
spam,You are selected for a free vacation. Call now to confirm.
ham,Here are the notes from today's class.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Can you share the project update?
ham,Please find the attached report for your review.
ham,Your order has been shipped successfully.
ham,Looking forward to our discussion.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Lowest price loans available. Apply today.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Here are the notes from today's class.
ham,Reminder: Submit your assignment by tonight.
spam,You are selected for a free vacation. Call now to confirm.
spam,You are selected for a free vacation. Call now to confirm.
spam,Act now! This offer is valid for today only.
ham,Reminder: Submit your assignment by tonight.
ham,Please find the attached report for your review.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Here are the notes from today's class.
spam,Winner! Claim your lottery prize before it expires.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Please find the attached report for your review.
ham,Thank you for your assistance.
ham,Your order has been shipped successfully.
spam,Lowest price loans available. Apply today.
ham,Let me know if you need any further information.
spam,Earn money quickly from home. No experience required.
ham,Let me know if you need any further information.
ham,Reminder: Submit your assignment by tonight.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Thank you for your assistance.
spam,Earn money quickly from home. No experience required.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Winner! Claim your lottery prize before it expires.
spam,You are selected for a free vacation. Call now to confirm.
spam,Act now! This offer is valid for today only.
ham,Lunch at 1 PM works for me.
spam,Earn money quickly from home. No experience required.
spam,Earn money quickly from home. No experience required.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Winner! Claim your lottery prize before it expires.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Winner! Claim your lottery prize before it expires.
ham,Please find the attached report for your review.
ham,Please find the attached report for your review.
ham,Your order has been shipped successfully.
ham,Please find the attached report for your review.
ham,Can you share the project update?
ham,Lunch at 1 PM works for me.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Act now! This offer is valid for today only.
ham,Please find the attached report for your review.
ham,Looking forward to our discussion.
spam,You are selected for a free vacation. Call now to confirm.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Earn money quickly from home. No experience required.
ham,Let me know if you need any further information.
ham,Thank you for your assistance.
ham,Please find the attached report for your review.
ham,Looking forward to our discussion.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Can you share the project update?
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Get cheap medicines online without prescription. Limited offer!
ham,Reminder: Submit your assignment by tonight.
spam,Act now! This offer is valid for today only.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Act now! This offer is valid for today only.
ham,Lunch at 1 PM works for me.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Can you share the project update?
ham,Looking forward to our discussion.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Looking forward to our discussion.
ham,Let me know if you need any further information.
ham,Here are the notes from today's class.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Can you share the project update?
ham,Lunch at 1 PM works for me.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Winner! Claim your lottery prize before it expires.
ham,Can you share the project update?
ham,Can you share the project update?
spam,Get cheap medicines online without prescription. Limited offer!
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Get cheap medicines online without prescription. Limited offer!
spam,Get cheap medicines online without prescription. Limited offer!
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Looking forward to our discussion.
spam,Lowest price loans available. Apply today.
spam,Earn money quickly from home. No experience required.
ham,Your order has been shipped successfully.
ham,Lunch at 1 PM works for me.
ham,Please find the attached report for your review.
ham,Let me know if you need any further information.
ham,Can you share the project update?
ham,Here are the notes from today's class.
ham,Can you share the project update?
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Looking forward to our discussion.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Please find the attached report for your review.
ham,Here are the notes from today's class.
ham,Lunch at 1 PM works for me.
spam,Earn money quickly from home. No experience required.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Thank you for your assistance.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Your order has been shipped successfully.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Act now! This offer is valid for today only.
ham,Please find the attached report for your review.
ham,Let me know if you need any further information.
ham,Reminder: Submit your assignment by tonight.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Earn money quickly from home. No experience required.
ham,Please find the attached report for your review.
ham,Lunch at 1 PM works for me.
spam,Free entry in 2 million dollar contest. Click to participate.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Looking forward to our discussion.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Lowest price loans available. Apply today.
ham,Let me know if you need any further information.
spam,Free entry in 2 million dollar contest. Click to participate.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Winner! Claim your lottery prize before it expires.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Earn money quickly from home. No experience required.
spam,Winner! Claim your lottery prize before it expires.
ham,Please find the attached report for your review.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Looking forward to our discussion.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Act now! This offer is valid for today only.
spam,Earn money quickly from home. No experience required.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Earn money quickly from home. No experience required.
ham,Looking forward to our discussion.
ham,Here are the notes from today's class.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Looking forward to our discussion.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Act now! This offer is valid for today only.
spam,You are selected for a free vacation. Call now to confirm.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Can you share the project update?
ham,Lunch at 1 PM works for me.
ham,Let me know if you need any further information.
ham,Let me know if you need any further information.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Your order has been shipped successfully.
ham,Let me know if you need any further information.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Thank you for your assistance.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Thank you for your assistance.
spam,Earn money quickly from home. No experience required.
ham,Your order has been shipped successfully.
spam,Get cheap medicines online without prescription. Limited offer!
spam,You are selected for a free vacation. Call now to confirm.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Looking forward to our discussion.
spam,Act now! This offer is valid for today only.
spam,Lowest price loans available. Apply today.
ham,Your order has been shipped successfully.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Thank you for your assistance.
ham,Here are the notes from today's class.
ham,Lunch at 1 PM works for me.
ham,Here are the notes from today's class.
spam,Lowest price loans available. Apply today.
ham,Can you share the project update?
spam,Winner! Claim your lottery prize before it expires.
ham,Your order has been shipped successfully.
ham,Can you share the project update?
ham,Please find the attached report for your review.
ham,Looking forward to our discussion.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Looking forward to our discussion.
ham,Here are the notes from today's class.
ham,Your order has been shipped successfully.
spam,Act now! This offer is valid for today only.
spam,You are selected for a free vacation. Call now to confirm.
ham,Your order has been shipped successfully.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Thank you for your assistance.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Can you share the project update?
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,You are selected for a free vacation. Call now to confirm.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Your order has been shipped successfully.
spam,Act now! This offer is valid for today only.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Thank you for your assistance.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Lowest price loans available. Apply today.
ham,Here are the notes from today's class.
ham,Let me know if you need any further information.
ham,Thank you for your assistance.
ham,Let me know if you need any further information.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Let me know if you need any further information.
ham,Looking forward to our discussion.
spam,Winner! Claim your lottery prize before it expires.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Act now! This offer is valid for today only.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Your order has been shipped successfully.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Earn money quickly from home. No experience required.
ham,Lunch at 1 PM works for me.
spam,Earn money quickly from home. No experience required.
ham,Lunch at 1 PM works for me.
ham,Reminder: Submit your assignment by tonight.
spam,Act now! This offer is valid for today only.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Can you share the project update?
spam,Get cheap medicines online without prescription. Limited offer!
ham,Your order has been shipped successfully.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Please find the attached report for your review.
ham,Looking forward to our discussion.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Looking forward to our discussion.
ham,Looking forward to our discussion.
ham,Looking forward to our discussion.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Thank you for your assistance.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Earn money quickly from home. No experience required.
ham,Can you share the project update?
ham,Let me know if you need any further information.
ham,Let me know if you need any further information.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Act now! This offer is valid for today only.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Act now! This offer is valid for today only.
ham,Here are the notes from today's class.
spam,You are selected for a free vacation. Call now to confirm.
ham,Can you share the project update?
ham,Can you share the project update?
ham,Looking forward to our discussion.
spam,You are selected for a free vacation. Call now to confirm.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Thank you for your assistance.
spam,Act now! This offer is valid for today only.
ham,Thank you for your assistance.
ham,Let me know if you need any further information.
spam,Earn money quickly from home. No experience required.
ham,Lunch at 1 PM works for me.
spam,You are selected for a free vacation. Call now to confirm.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Winner! Claim your lottery prize before it expires.
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Thank you for your assistance.
spam,Act now! This offer is valid for today only.
ham,Your order has been shipped successfully.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Let me know if you need any further information.
ham,Looking forward to our discussion.
ham,Here are the notes from today's class.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Thank you for your assistance.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Thank you for your assistance.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Lunch at 1 PM works for me.
spam,You are selected for a free vacation. Call now to confirm.
spam,You are selected for a free vacation. Call now to confirm.
spam,Winner! Claim your lottery prize before it expires.
spam,Act now! This offer is valid for today only.
spam,Earn money quickly from home. No experience required.
ham,Here are the notes from today's class.
ham,Let me know if you need any further information.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Lunch at 1 PM works for me.
ham,Your order has been shipped successfully.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,You are selected for a free vacation. Call now to confirm.
ham,Your order has been shipped successfully.
ham,Thank you for your assistance.
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Let me know if you need any further information.
ham,Can you share the project update?
spam,You are selected for a free vacation. Call now to confirm.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,You are selected for a free vacation. Call now to confirm.
ham,Your order has been shipped successfully.
ham,Can you share the project update?
spam,You are selected for a free vacation. Call now to confirm.
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Can you share the project update?
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Winner! Claim your lottery prize before it expires.
ham,Your order has been shipped successfully.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Your order has been shipped successfully.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Looking forward to our discussion.
ham,Can you share the project update?
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Lowest price loans available. Apply today.
ham,Please find the attached report for your review.
ham,Reminder: Submit your assignment by tonight.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Please find the attached report for your review.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Please find the attached report for your review.
ham,Reminder: Submit your assignment by tonight.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Here are the notes from today's class.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Let me know if you need any further information.
ham,Can you share the project update?
spam,Free entry in 2 million dollar contest. Click to participate.
ham,Your order has been shipped successfully.
ham,Reminder: Submit your assignment by tonight.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Exclusive deal just for you. Buy now and save 50%.
ham,Let me know if you need any further information.
ham,Looking forward to our discussion.
ham,Here are the notes from today's class.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Get cheap medicines online without prescription. Limited offer!
spam,You are selected for a free vacation. Call now to confirm.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Lowest price loans available. Apply today.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Here are the notes from today's class.
ham,Lunch at 1 PM works for me.
ham,Reminder: Submit your assignment by tonight.
ham,Can you share the project update?
ham,Let me know if you need any further information.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Let me know if you need any further information.
ham,Let me know if you need any further information.
spam,You are selected for a free vacation. Call now to confirm.
spam,Earn money quickly from home. No experience required.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Act now! This offer is valid for today only.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Winner! Claim your lottery prize before it expires.
ham,Lunch at 1 PM works for me.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Earn money quickly from home. No experience required.
ham,Looking forward to our discussion.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Here are the notes from today's class.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Please find the attached report for your review.
ham,Reminder: Submit your assignment by tonight.
ham,Here are the notes from today's class.
ham,Can you share the project update?
ham,Your order has been shipped successfully.
ham,Please find the attached report for your review.
ham,"Hi, can we reschedule our meeting to tomorrow?"
ham,Here are the notes from today's class.
ham,Lunch at 1 PM works for me.
ham,Can you share the project update?
spam,You are selected for a free vacation. Call now to confirm.
ham,"Hi, can we reschedule our meeting to tomorrow?"
spam,Get cheap medicines online without prescription. Limited offer!
ham,Your order has been shipped successfully.
ham,Thank you for your assistance.
ham,Your order has been shipped successfully.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Let me know if you need any further information.
ham,Your order has been shipped successfully.
ham,Let me know if you need any further information.
ham,Looking forward to our discussion.
spam,Get cheap medicines online without prescription. Limited offer!
ham,Can you share the project update?
ham,Your order has been shipped successfully.
spam,Urgent! Your account has been compromised. Verify your details immediately.
spam,Earn money quickly from home. No experience required.
ham,Can you share the project update?
spam,Earn money quickly from home. No experience required.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Act now! This offer is valid for today only.
ham,Let me know if you need any further information.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Get cheap medicines online without prescription. Limited offer!
spam,Get cheap medicines online without prescription. Limited offer!
spam,You are selected for a free vacation. Call now to confirm.
ham,Looking forward to our discussion.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Reminder: Submit your assignment by tonight.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Lowest price loans available. Apply today.
spam,Free entry in 2 million dollar contest. Click to participate.
spam,Urgent! Your account has been compromised. Verify your details immediately.
ham,Lunch at 1 PM works for me.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
spam,Congratulations! You have won a $1000 gift card. Click here to claim now.
ham,Please find the attached report for your review.
ham,Please find the attached report for your review.
ham,Please find the attached report for your review.
spam,Exclusive deal just for you. Buy now and save 50%.
spam,Urgent! Your account has been compromised. Verify your details immediately.
